Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
422,40,9,5.5,7,0.988795832,58396.1414,FALSE
423,40,9,5.5,8,0.99075311,66164.3922,FALSE
424,40,9,6,1,0.827057866,15840.3125,FALSE
425,40,9,6,2,0.91427607,20577.2169,FALSE
426,40,9,6,3,0.952406286,28357.3515,FALSE
427,40,9,6,4,0.970084092,36152.6222,FALSE
428,40,9,6,5,0.97914877,44098.7802,FALSE
429,40,9,6,6,0.984310344,52060.884,FALSE
430,40,9,6,7,0.987504034,60012.0431,FALSE
431,40,9,6,8,0.989624355,67950.1029,FALSE
432,40,10,3.5,1,0.847708025,16933.733,FALSE
433,40,10,3.5,2,0.932072395,19845.8006,FALSE
434,40,10,3.5,3,0.965783073,24068.3358,FALSE
435,40,10,3.5,4,0.980008259,30989.3535,FALSE
436,40,10,3.5,5,0.986971495,37689.9194,FALSE
437,40,10,3.5,6,0.990696161,44577.5631,FALSE
438,40,10,3.5,7,0.992908072,51532.5713,FALSE
439,40,10,3.5,8,0.994320682,58505.5331,FALSE
440,40,10,4,1,0.843783407,16972.0425,FALSE
441,40,10,4,2,0.928391072,20196.343,FALSE
442,40,10,4,3,0.962974387,25021.1259,FALSE
443,40,10,4,4,0.978031404,32535.9413,FALSE
444,40,10,4,5,0.985441829,39568.3151,FALSE
445,40,10,4,6,0.989479519,46732.367,FALSE
446,40,10,4,7,0.991905495,53924.5165,FALSE
447,40,10,4,8,0.993470553,61124.6248,FALSE
448,40,10,4.5,1,0.839755211,17011.6606,FALSE
449,40,10,4.5,2,0.924645787,20552.0309,FALSE
450,40,10,4.5,3,0.959944388,27072.5619,FALSE
451,40,10,4.5,4,0.975934609,33940.1218,FALSE
452,40,10,4.5,5,0.98381435,41247.473,FALSE
453,40,10,4.5,6,0.988185338,48635.6869,FALSE
454,40,10,4.5,7,0.990827703,56049.4338,FALSE
455,40,10,4.5,8,0.992536524,63452.822,FALSE
456,40,10,5,1,0.835669725,17051.9361,FALSE
457,40,10,5,2,0.920844376,20923.0883,FALSE
458,40,10,5,3,0.957126949,27948.5508,FALSE
459,40,10,5,4,0.973727184,35216.3509,FALSE
460,40,10,5,5,0.98210499,42756.693,FALSE
461,40,10,5,6,0.986799046,50361.416,FALSE
462,40,10,5,7,0.989657,57966.8627,FALSE
463,40,10,5,8,0.991527027,65555.2274,FALSE
464,40,10,5.5,1,0.831553786,17092.996,FALSE
465,40,10,5.5,2,0.916988292,21334.2212,FALSE
466,40,10,5.5,3,0.954172814,28818.9551,FALSE
467,40,10,5.5,4,0.971456793,36368.7376,FALSE
468,40,10,5.5,5,0.980319106,44131.1621,FALSE
469,40,10,5.5,6,0.9853178,51918.7622,FALSE
470,40,10,5.5,7,0.988406791,59702.2142,FALSE
471,40,10,5.5,8,0.990444419,67469.7155,FALSE
472,40,10,6,1,0.827415946,17136.446,FALSE
473,40,10,6,2,0.913034373,21865.9647,FALSE
474,40,10,6,3,0.951125277,29646.0544,FALSE
475,40,10,6,4,0.969086028,37434.3284,FALSE
476,40,10,6,5,0.978410314,45387.0005,FALSE
477,40,10,6,6,0.983755041,53349.3463,FALSE
478,40,10,6,7,0.987070665,61302.5723,FALSE
479,40,10,6,8,0.989276074,69239.2059,FALSE
480,45,1,3.5,1,0.697887817,4393.55042,FALSE
481,45,1,3.5,2,0.791245447,7206.732,FALSE
482,45,1,3.5,3,0.874326705,11432.6487,FALSE
483,45,1,3.5,4,0.942413003,18557.2346,FALSE
484,45,1,3.5,5,0.977963051,25389.1343,FALSE
485,45,1,3.5,6,0.989725734,32363.2917,FALSE
486,45,1,3.5,7,0.99404683,39363.7392,FALSE
487,45,1,3.5,8,0.996020158,46365.3963,FALSE
